REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;05;0105305;Bourg-en-Bresse-1;28982;1026;30008
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;06;0105306;Bourg-en-Bresse-2;13390;563;13953
32;Hauts-de-France;02;408;Laon;09;0240809;Laon-1;8761;132;8893
32;Hauts-de-France;02;408;Laon;10;0240810;Laon-2;15459;457;15916
32;Hauts-de-France;02;691;Saint-Quentin;13;0269113;Saint-Quentin-1;18315;448;18763
32;Hauts-de-France;02;691;Saint-Quentin;14;0269114;Saint-Quentin-2;18416;480;18896
32;Hauts-de-France;02;691;Saint-Quentin;15;0269115;Saint-Quentin-3;16082;222;16304
32;Hauts-de-France;02;722;Soissons;16;0272216;Soissons-1;10524;139;10663
32;Hauts-de-France;02;722;Soissons;17;0272217;Soissons-2;17522;479;18001
84;Auvergne-Rhône-Alpes;03;185;Montluçon;09;0318509;Montluçon-1;3685;72;3757
84;Auvergne-Rhône-Alpes;03;185;Montluçon;10;0318510;Montluçon-2;10986;480;11466
84;Auvergne-Rhône-Alpes;03;185;Montluçon;11;0318511;Montluçon-3;9361;181;9542
84;Auvergne-Rhône-Alpes;03;185;Montluçon;12;0318512;Montluçon-4;9115;227;9342
84;Auvergne-Rhône-Alpes;03;190;Moulins;13;0319013;Moulins-1;10223;341;10564
84;Auvergne-Rhône-Alpes;03;190;Moulins;14;0319014;Moulins-2;8983;167;9150
84;Auvergne-Rhône-Alpes;03;310;Vichy;17;0331017;Vichy-1;11987;141;12128
84;Auvergne-Rhône-Alpes;03;310;Vichy;18;0331018;Vichy-2;13128;189;13317
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;04;0407004;Digne-les-Bains-1;11128;528;11656
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;05;0407005;Digne-les-Bains-2;6851;257;7108
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;07;0411207;Manosque-1;8241;139;8380
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;08;0411208;Manosque-2;6682;220;6902
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;09;0411209;Manosque-3;7795;272;8067
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;02;0502302;Briançon-1;2080;40;2120
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;03;0502303;Briançon-2;9331;293;9624
93;Provence-Alpes-Côte d'Azur;05;061;Gap;06;0506106;Gap-1;10051;211;10262
93;Provence-Alpes-Côte d'Azur;05;061;Gap;07;0506107;Gap-2;10645;528;11173
93;Provence-Alpes-Côte d'Azur;05;061;Gap;08;0506108;Gap-3;10747;269;11016
93;Provence-Alpes-Côte d'Azur;05;061;Gap;09;0506109;Gap-4;9850;384;10234
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;01;0600401;Antibes-1;11139;109;11248
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;02;0600402;Antibes-2;31928;217;32145
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;03;0600403;Antibes-3;28481;384;28865
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;05;0602705;Cagnes-sur-Mer-1;44398;347;44745
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;06;0602706;Cagnes-sur-Mer-2;8956;118;9074
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;07;0603007;Cannes-1;14491;152;14643
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;07;0602907;Cannes-1;34501;264;34765
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;08;0602908;Cannes-2;39849;491;40340
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;09;0603009;Le Cannet;27447;207;27654
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;11;0606911;Grasse-1;18755;253;19008
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;12;0606912;Grasse-2;32215;607;32822
93;Provence-Alpes-Côte d'Azur;06;088;Nice;15;0608815;Nice-1;45843;372;46215
93;Provence-Alpes-Côte d'Azur;06;088;Nice;16;0608816;Nice-2;49716;449;50165
93;Provence-Alpes-Côte d'Azur;06;088;Nice;17;0608817;Nice-3;27866;288;28154
93;Provence-Alpes-Côte d'Azur;06;088;Nice;18;0608818;Nice-4;43728;345;44073
93;Provence-Alpes-Côte d'Azur;06;088;Nice;19;0608819;Nice-5;47638;292;47930
93;Provence-Alpes-Côte d'Azur;06;088;Nice;20;0608820;Nice-6;42440;619;43059
93;Provence-Alpes-Côte d'Azur;06;088;Nice;21;0608821;Nice-7;26469;131;26600
93;Provence-Alpes-Côte d'Azur;06;088;Nice;22;0608822;Nice-8;41573;216;41789
93;Provence-Alpes-Côte d'Azur;06;088;Nice;23;0608823;Nice-9;32464;261;32725
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;25;0600425;Valbonne;6089;265;6354
84;Auvergne-Rhône-Alpes;07;010;Annonay;01;0701001;Annonay-1;10216;308;10524
84;Auvergne-Rhône-Alpes;07;010;Annonay;02;0701002;Annonay-2;7058;254;7312
84;Auvergne-Rhône-Alpes;07;019;Aubenas;03;0701903;Aubenas-1;7152;373;7525
84;Auvergne-Rhône-Alpes;07;019;Aubenas;04;0701904;Aubenas-2;5264;341;5605
44;Grand Est;08;105;Charleville-Mézières;04;0810504;Charleville-Mézières-1;9950;109;10059
44;Grand Est;08;105;Charleville-Mézières;05;0810505;Charleville-Mézières-2;8806;169;8975
44;Grand Est;08;105;Charleville-Mézières;06;0810506;Charleville-Mézières-3;14397;474;14871
44;Grand Est;08;105;Charleville-Mézières;07;0810507;Charleville-Mézières-4;12407;161;12568
44;Grand Est;08;409;Sedan;14;0840914;Sedan-1;5166;165;5331
44;Grand Est;08;409;Sedan;15;0840915;Sedan-2;5076;118;5194
44;Grand Est;08;409;Sedan;16;0840916;Sedan-3;6425;79;6504
76;Occitanie;09;225;Pamiers;07;0922507;Pamiers-1;6231;149;6380
76;Occitanie;09;225;Pamiers;08;0922508;Pamiers-2;10242;383;10625
44;Grand Est;10;387;Troyes;12;1038712;Troyes-1;19835;344;20179
44;Grand Est;10;387;Troyes;13;1038713;Troyes-2;7752;75;7827
44;Grand Est;10;387;Troyes;14;1038714;Troyes-3;9110;354;9464
44;Grand Est;10;387;Troyes;15;1038715;Troyes-4;7075;57;7132
44;Grand Est;10;387;Troyes;16;1038716;Troyes-5;18316;336;18652
76;Occitanie;11;069;Carcassonne;02;1106902;Carcassonne-1;14565;337;14902
76;Occitanie;11;069;Carcassonne;03;1106903;Carcassonne-2;14572;440;15012
76;Occitanie;11;069;Carcassonne;04;1106904;Carcassonne-3;16943;296;17239
76;Occitanie;11;262;Narbonne;11;1126211;Narbonne-1;22468;325;22793
76;Occitanie;11;262;Narbonne;12;1126212;Narbonne-2;16345;409;16754
76;Occitanie;11;262;Narbonne;13;1126213;Narbonne-3;18774;348;19122
76;Occitanie;12;145;Millau;11;1214511;Millau-1;11470;438;11908
76;Occitanie;12;145;Millau;12;1214512;Millau-2;10574;196;10770
76;Occitanie;12;202;Rodez;16;1220216;Rodez-1;12261;884;13145
76;Occitanie;12;202;Rodez;17;1220217;Rodez-2;9605;769;10374
76;Occitanie;12;202;Rodez;18;1220218;Rodez-Onet;2115;51;2166
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;01;1300101;Aix-en-Provence-1;74302;2035;76337
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;02;1300102;Aix-en-Provence-2;75393;1124;76517
93;Provence-Alpes-Côte d'Azur;13;203;Marseille 3e Arrondissement;12;1320312;Marseille-1;5680;13;5693
93;Provence-Alpes-Côte d'Azur;13;204;Marseille 4e Arrondissement;12;1320412;Marseille-1;24034;157;24191
93;Provence-Alpes-Côte d'Azur;13;205;Marseille 5e Arrondissement;12;1320512;Marseille-1;6199;60;6259
93;Provence-Alpes-Côte d'Azur;13;203;Marseille 3e Arrondissement;13;1320313;Marseille-2;52349;103;52452
93;Provence-Alpes-Côte d'Azur;13;215;Marseille 15e Arrondissement;14;1321514;Marseille-3;49158;162;49320
93;Provence-Alpes-Côte d'Azur;13;214;Marseille 14e Arrondissement;15;1321415;Marseille-4;27336;74;27410
93;Provence-Alpes-Côte d'Azur;13;215;Marseille 15e Arrondissement;15;1321515;Marseille-4;30003;75;30078
93;Provence-Alpes-Côte d'Azur;13;214;Marseille 14e Arrondissement;16;1321416;Marseille-5;33169;140;33309
93;Provence-Alpes-Côte d'Azur;13;213;Marseille 13e Arrondissement;16;1321316;Marseille-5;19539;232;19771
93;Provence-Alpes-Côte d'Azur;13;204;Marseille 4e Arrondissement;16;1320416;Marseille-5;17463;62;17525
93;Provence-Alpes-Côte d'Azur;13;213;Marseille 13e Arrondissement;17;1321317;Marseille-6;75573;508;76081
93;Provence-Alpes-Côte d'Azur;13;212;Marseille 12e Arrondissement;18;1321218;Marseille-7;60789;609;61398
93;Provence-Alpes-Côte d'Azur;13;204;Marseille 4e Arrondissement;18;1320418;Marseille-7;7866;68;7934
93;Provence-Alpes-Côte d'Azur;13;211;Marseille 11e Arrondissement;18;1321118;Marseille-7;15721;232;15953
93;Provence-Alpes-Côte d'Azur;13;212;Marseille 12e Arrondissement;19;1321219;Marseille-8;3610;20;3630
93;Provence-Alpes-Côte d'Azur;13;210;Marseille 10e Arrondissement;19;1321019;Marseille-8;27117;276;27393
93;Provence-Alpes-Côte d'Azur;13;211;Marseille 11e Arrondissement;19;1321119;Marseille-8;44162;234;44396
93;Provence-Alpes-Côte d'Azur;13;208;Marseille 8e Arrondissement;20;1320820;Marseille-9;28605;549;29154
93;Provence-Alpes-Côte d'Azur;13;209;Marseille 9e Arrondissement;20;1320920;Marseille-9;48189;520;48709
93;Provence-Alpes-Côte d'Azur;13;210;Marseille 10e Arrondissement;21;1321021;Marseille-10;19793;65;19858
93;Provence-Alpes-Côte d'Azur;13;208;Marseille 8e Arrondissement;21;1320821;Marseille-10;30110;446;30556
93;Provence-Alpes-Côte d'Azur;13;209;Marseille 9e Arrondissement;21;1320921;Marseille-10;29217;247;29464
93;Provence-Alpes-Côte d'Azur;13;210;Marseille 10e Arrondissement;22;1321022;Marseille-11;13407;53;13460
93;Provence-Alpes-Côte d'Azur;13;205;Marseille 5e Arrondissement;22;1320522;Marseille-11;39503;212;39715
93;Provence-Alpes-Côte d'Azur;13;206;Marseille 6e Arrondissement;22;1320622;Marseille-11;21682;173;21855
93;Provence-Alpes-Côte d'Azur;13;206;Marseille 6e Arrondissement;23;1320623;Marseille-12;16794;188;16982
93;Provence-Alpes-Côte d'Azur;13;208;Marseille 8e Arrondissement;23;1320823;Marseille-12;25968;253;26221
93;Provence-Alpes-Côte d'Azur;13;103;Salon-de-Provence;26;1310326;Salon-de-Provence-1;18435;222;18657
93;Provence-Alpes-Côte d'Azur;13;103;Salon-de-Provence;27;1310327;Salon-de-Provence-2;25759;320;26079
28;Normandie;14;027;Les Monts d'Aunay;01;1402701;Les Monts d’Aunay;4455;60;4515
28;Normandie;14;118;Caen;05;1411805;Caen-1;17788;283;18071
28;Normandie;14;118;Caen;06;1411806;Caen-2;19742;202;19944
28;Normandie;14;118;Caen;07;1411807;Caen-3;26743;978;27721
28;Normandie;14;118;Caen;08;1411808;Caen-4;28303;465;28768
28;Normandie;14;118;Caen;09;1411809;Caen-5;16824;218;17042
28;Normandie;14;027;Les Monts d'Aunay;10;1402710;Condé-en-Normandie;322;9;331
84;Auvergne-Rhône-Alpes;15;014;Aurillac;02;1501402;Aurillac-1;6147;202;6349
84;Auvergne-Rhône-Alpes;15;014;Aurillac;03;1501403;Aurillac-2;9902;874;10776
84;Auvergne-Rhône-Alpes;15;014;Aurillac;04;1501404;Aurillac-3;10165;288;10453
84;Auvergne-Rhône-Alpes;15;187;Saint-Flour;11;1518711;Saint-Flour-1;1819;92;1911
84;Auvergne-Rhône-Alpes;15;187;Saint-Flour;12;1518712;Saint-Flour-2;4572;370;4942
75;Nouvelle-Aquitaine;16;015;Angoulême;01;1601501;Angoulême-1;14643;356;14999
75;Nouvelle-Aquitaine;16;015;Angoulême;02;1601502;Angoulême-2;14068;530;14598
75;Nouvelle-Aquitaine;16;015;Angoulême;03;1601503;Angoulême-3;13197;660;13857
75;Nouvelle-Aquitaine;16;192;Terres-de-Haute-Charente;06;1619206;Charente-Bonnieure;3061;54;3115
75;Nouvelle-Aquitaine;16;192;Terres-de-Haute-Charente;10;1619210;Charente-Vienne;716;65;781
75;Nouvelle-Aquitaine;16;102;Cognac;11;1610211;Cognac-1;8708;265;8973
75;Nouvelle-Aquitaine;16;102;Cognac;12;1610212;Cognac-2;9824;187;10011
75;Nouvelle-Aquitaine;17;300;La Rochelle;14;1730014;La Rochelle-1;27263;360;27623
75;Nouvelle-Aquitaine;17;300;La Rochelle;15;1730015;La Rochelle-2;26267;946;27213
75;Nouvelle-Aquitaine;17;300;La Rochelle;16;1730016;La Rochelle-3;26321;686;27007
24;Centre-Val de Loire;18;033;Bourges;03;1803303;Bourges-1;18160;463;18623
24;Centre-Val de Loire;18;033;Bourges;04;1803304;Bourges-2;15564;164;15728
24;Centre-Val de Loire;18;033;Bourges;05;1803305;Bourges-3;13800;558;14358
24;Centre-Val de Loire;18;033;Bourges;06;1803306;Bourges-4;16662;784;17446
24;Centre-Val de Loire;18;173;Osmery;09;1817309;Dun-sur-Auron;229;2;231
24;Centre-Val de Loire;18;173;Osmery;10;1817310;La Guerche-sur-l'Aubois;35;1;36
24;Centre-Val de Loire;18;279;Vierzon;18;1827918;Vierzon-1;14736;334;15070
24;Centre-Val de Loire;18;279;Vierzon;19;1827919;Vierzon-2;10332;125;10457
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;03;1903103;Brive-la-Gaillarde-1;12225;375;12600
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;04;1903104;Brive-la-Gaillarde-2;12978;395;13373
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;05;1903105;Brive-la-Gaillarde-3;8814;114;8928
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;06;1903106;Brive-la-Gaillarde-4;13078;351;13429
27;Bourgogne-Franche-Comté;21;231;Dijon;08;2123108;Dijon-1;25078;469;25547
27;Bourgogne-Franche-Comté;21;231;Dijon;09;2123109;Dijon-2;29406;494;29900
27;Bourgogne-Franche-Comté;21;231;Dijon;10;2123110;Dijon-3;25019;531;25550
27;Bourgogne-Franche-Comté;21;231;Dijon;11;2123111;Dijon-4;29908;620;30528
27;Bourgogne-Franche-Comté;21;231;Dijon;12;2123112;Dijon-5;26778;603;27381
27;Bourgogne-Franche-Comté;21;231;Dijon;13;2123113;Dijon-6;25641;416;26057
53;Bretagne;22;093;Lamballe-Armor;06;2209306;Lamballe-Armor;14976;460;15436
53;Bretagne;22;093;Lamballe-Armor;17;2209317;Pléneuf-Val-André;2265;45;2310
53;Bretagne;22;278;Saint-Brieuc;24;2227824;Saint-Brieuc-1;22457;659;23116
53;Bretagne;22;278;Saint-Brieuc;25;2227825;Saint-Brieuc-2;21907;713;22620
75;Nouvelle-Aquitaine;23;096;Guéret;12;2309612;Guéret-1;5234;93;5327
75;Nouvelle-Aquitaine;23;096;Guéret;13;2309613;Guéret-2;7721;536;8257
75;Nouvelle-Aquitaine;24;037;Bergerac;01;2403701;Bergerac-1;18236;558;18794
75;Nouvelle-Aquitaine;24;037;Bergerac;02;2403702;Bergerac-2;8874;195;9069
75;Nouvelle-Aquitaine;24;026;Bassillac et Auberoche;05;2402605;Le Haut-Périgord Noir;1772;26;1798
75;Nouvelle-Aquitaine;24;026;Bassillac et Auberoche;07;2402607;Isle-Manoire;2589;56;2645
75;Nouvelle-Aquitaine;24;312;Sanilhac;07;2431207;Isle-Manoire;4499;92;4591
75;Nouvelle-Aquitaine;24;312;Sanilhac;12;2431212;Périgord Central;258;7;265
75;Nouvelle-Aquitaine;24;322;Périgueux;14;2432214;Périgueux-1;15349;827;16176
75;Nouvelle-Aquitaine;24;322;Périgueux;15;2432215;Périgueux-2;13706;614;14320
27;Bourgogne-Franche-Comté;25;056;Besançon;04;2505604;Besançon-1;21442;394;21836
27;Bourgogne-Franche-Comté;25;056;Besançon;05;2505605;Besançon-2;18004;485;18489
27;Bourgogne-Franche-Comté;25;056;Besançon;06;2505606;Besançon-3;22569;855;23424
27;Bourgogne-Franche-Comté;25;056;Besançon;07;2505607;Besançon-4;24862;439;25301
27;Bourgogne-Franche-Comté;25;056;Besançon;08;2505608;Besançon-5;10861;362;11223
27;Bourgogne-Franche-Comté;25;056;Besançon;09;2505609;Besançon-6;20751;603;21354
84;Auvergne-Rhône-Alpes;26;281;Romans-sur-Isère;01;2628101;Bourg-de-Péage;17544;481;18025
84;Auvergne-Rhône-Alpes;26;198;Montélimar;08;2619808;Montélimar-1;20992;700;21692
84;Auvergne-Rhône-Alpes;26;198;Montélimar;09;2619809;Montélimar-2;19603;457;20060
84;Auvergne-Rhône-Alpes;26;281;Romans-sur-Isère;11;2628111;Romans-sur-Isère;15920;231;16151
84;Auvergne-Rhône-Alpes;26;362;Valence;15;2636215;Valence-1;5434;46;5480
84;Auvergne-Rhône-Alpes;26;362;Valence;16;2636216;Valence-2;16383;404;16787
84;Auvergne-Rhône-Alpes;26;362;Valence;17;2636217;Valence-3;14716;237;14953
84;Auvergne-Rhône-Alpes;26;362;Valence;18;2636218;Valence-4;27925;502;28427
28;Normandie;27;679;Verneuil d'Avre et d'Iton;06;2767906;Breteuil;1132;21;1153
28;Normandie;27;198;Mesnils-sur-Iton;06;2719806;Breteuil;912;12;924
28;Normandie;27;229;Évreux;09;2722909;Évreux-1;17991;676;18667
28;Normandie;27;229;Évreux;10;2722910;Évreux-2;18843;295;19138
28;Normandie;27;229;Évreux;11;2722911;Évreux-3;12526;270;12796
28;Normandie;27;198;Mesnils-sur-Iton;22;2719822;Verneuil d'Avre et d'Iton;5166;201;5367
28;Normandie;27;679;Verneuil d'Avre et d'Iton;22;2767922;Verneuil d'Avre et d'Iton;6061;320;6381
24;Centre-Val de Loire;28;085;Chartres;04;2808504;Chartres-1;16061;373;16434
24;Centre-Val de Loire;28;085;Chartres;05;2808505;Chartres-2;10162;237;10399
24;Centre-Val de Loire;28;085;Chartres;06;2808506;Chartres-3;12101;384;12485
24;Centre-Val de Loire;28;134;Dreux;08;2813408;Dreux-1;10680;139;10819
24;Centre-Val de Loire;28;134;Dreux;09;2813409;Dreux-2;20863;363;21226
53;Bretagne;29;019;Brest;01;2901901;Brest-1;32272;421;32693
53;Bretagne;29;019;Brest;02;2901902;Brest-2;36399;421;36820
53;Bretagne;29;019;Brest;03;2901903;Brest-3;19001;445;19446
53;Bretagne;29;019;Brest;04;2901904;Brest-4;17627;263;17890
53;Bretagne;29;019;Brest;05;2901905;Brest-5;37047;994;38041
53;Bretagne;29;232;Quimper;23;2923223;Quimper-1;24106;836;24942
53;Bretagne;29;232;Quimper;24;2923224;Quimper-2;40279;1358;41637
94;Corse;2A;004;Ajaccio;01;2A00401;Ajaccio-1;17515;203;17718
94;Corse;2A;004;Ajaccio;02;2A00402;Ajaccio-2;14600;186;14786
94;Corse;2A;004;Ajaccio;03;2A00403;Ajaccio-3;17473;208;17681
94;Corse;2A;004;Ajaccio;04;2A00404;Ajaccio-4;15328;125;15453
94;Corse;2A;004;Ajaccio;05;2A00405;Ajaccio-5;11404;90;11494
94;Corse;2A;247;Porto-Vecchio;06;2A24706;Bavella;6047;90;6137
94;Corse;2A;247;Porto-Vecchio;07;2A24707;Grand Sud;5151;99;5250
94;Corse;2B;033;Bastia;01;2B03301;Bastia-1;9563;149;9712
94;Corse;2B;033;Bastia;02;2B03302;Bastia-2;12968;107;13075
94;Corse;2B;033;Bastia;03;2B03303;Bastia-3;14857;62;14919
94;Corse;2B;033;Bastia;04;2B03304;Bastia-4;9479;189;9668
76;Occitanie;30;007;Alès;02;3000702;Alès-1;14136;237;14373
76;Occitanie;30;007;Alès;03;3000703;Alès-2;13850;142;13992
76;Occitanie;30;007;Alès;04;3000704;Alès-3;18139;128;18267
76;Occitanie;30;189;Nîmes;10;3018910;Nîmes-1;38600;723;39323
76;Occitanie;30;189;Nîmes;11;3018911;Nîmes-2;38627;391;39018
76;Occitanie;30;189;Nîmes;12;3018912;Nîmes-3;36530;442;36972
76;Occitanie;30;189;Nîmes;13;3018913;Nîmes-4;37667;618;38285
76;Occitanie;30;189;Nîmes;19;3018919;Saint-Gilles;415;4;419
76;Occitanie;31;555;Toulouse;15;3155515;Toulouse-1;63034;788;63822
76;Occitanie;31;555;Toulouse;16;3155516;Toulouse-2;57988;398;58386
76;Occitanie;31;555;Toulouse;17;3155517;Toulouse-3;51316;588;51904
76;Occitanie;31;555;Toulouse;18;3155518;Toulouse-4;51626;573;52199
76;Occitanie;31;555;Toulouse;19;3155519;Toulouse-5;47388;318;47706
76;Occitanie;31;555;Toulouse;20;3155520;Toulouse-6;60669;448;61117
76;Occitanie;31;555;Toulouse;21;3155521;Toulouse-7;11858;93;11951
76;Occitanie;31;555;Toulouse;22;3155522;Toulouse-8;73005;601;73606
76;Occitanie;31;555;Toulouse;23;3155523;Toulouse-9;34206;364;34570
76;Occitanie;31;555;Toulouse;24;3155524;Toulouse-10;24426;523;24949
76;Occitanie;31;555;Toulouse;25;3155525;Toulouse-11;39303;427;39730
76;Occitanie;32;013;Auch;04;3201304;Auch-1;6869;490;7359
76;Occitanie;32;013;Auch;05;3201305;Auch-2;6148;381;6529
76;Occitanie;32;013;Auch;06;3201306;Auch-3;9411;152;9563
75;Nouvelle-Aquitaine;33;063;Bordeaux;02;3306302;Bordeaux-1;43964;496;44460
75;Nouvelle-Aquitaine;33;063;Bordeaux;03;3306303;Bordeaux-2;49886;1092;50978
75;Nouvelle-Aquitaine;33;063;Bordeaux;04;3306304;Bordeaux-3;48384;777;49161
75;Nouvelle-Aquitaine;33;063;Bordeaux;05;3306305;Bordeaux-4;68072;594;68666
75;Nouvelle-Aquitaine;33;063;Bordeaux;06;3306306;Bordeaux-5;57685;602;58287
75;Nouvelle-Aquitaine;33;281;Mérignac;18;3328118;Mérignac-1;42774;491;43265
75;Nouvelle-Aquitaine;33;281;Mérignac;19;3328119;Mérignac-2;35316;365;35681
75;Nouvelle-Aquitaine;33;318;Pessac;23;3331823;Pessac-1;33384;409;33793
75;Nouvelle-Aquitaine;33;318;Pessac;24;3331824;Pessac-2;33955;354;34309
75;Nouvelle-Aquitaine;33;039;Bègles;31;3303931;Talence;6817;67;6884
75;Nouvelle-Aquitaine;33;039;Bègles;33;3303933;Villenave-d'Ornon;25014;323;25337
76;Occitanie;34;032;Béziers;02;3403202;Béziers-1;19444;220;19664
76;Occitanie;34;032;Béziers;03;3403203;Béziers-2;39841;449;40290
76;Occitanie;34;032;Béziers;04;3403204;Béziers-3;22260;415;22675
76;Occitanie;34;172;Montpellier;15;3417215;Montpellier-1;46304;327;46631
76;Occitanie;34;172;Montpellier;16;3417216;Montpellier-2;57346;658;58004
76;Occitanie;34;172;Montpellier;17;3417217;Montpellier-3;55198;984;56182
76;Occitanie;34;172;Montpellier;18;3417218;Montpellier-4;70440;338;70778
76;Occitanie;34;172;Montpellier;19;3417219;Montpellier-5;54495;613;55108
76;Occitanie;34;172;Montpellier;20;3417220;Montpellier - Castelnau-le-Lez;26457;552;27009
