DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
50;412;50412;Port-Bail-sur-Mer;50;503;50503;Saint-Lô-d'Ourville;480;7;487
50;591;50591;Le Teilleul;50;508;50508;Sainte-Marie-du-Bois;58;0;58
50;484;50484;Saint-Hilaire-du-Harcouët;50;515;50515;Saint-Martin-de-Landelles;1093;25;1118
50;025;50025;Avranches;50;516;50516;Saint-Martin-des-Champs;2536;82;2618
50;082;50082;Bricquebec-en-Cotentin;50;520;50520;Saint-Martin-le-Hébert;155;2;157
50;523;50523;Sainte-Mère-Église;50;523;50523;Sainte-Mère-Église;1505;29;1534
50;550;50550;Saint-Sauveur-Villages;50;524;50524;Saint-Michel-de-la-Pierre;183;6;189
50;099;50099;Carentan-les-Marais;50;534;50534;Saint-Pellerin;357;8;365
50;236;50236;La Haye;50;544;50544;Saint-Rémy-des-Landes;201;1;202
50;546;50546;Bourgvallées;50;545;50545;Saint-Romphaire;771;16;787
50;546;50546;Bourgvallées;50;546;50546;Saint-Samson-de-Bonfossé;943;28;971
50;550;50550;Saint-Sauveur-Villages;50;550;50550;Saint-Sauveur-Lendelin;1536;88;1624
50;090;50090;Buais-Les-Monts;50;557;50557;Saint-Symphorien-des-Monts;122;4;126
50;236;50236;La Haye;50;558;50558;Saint-Symphorien-le-Valois;882;19;901
50;493;50493;Saint-Jean-des-Champs;50;561;50561;Saint-Ursin;179;4;183
50;564;50564;Terre-et-Marais;50;564;50564;Sainteny;866;12;878
50;565;50565;Sartilly-Baie-Bocage;50;565;50565;Sartilly;1489;38;1527
50;215;50215;Gouville-sur-Mer;50;573;50573;Servigny;190;3;193
50;546;50546;Bourgvallées;50;581;50581;Soulles;465;7;472
50;582;50582;Sourdeval;50;582;50582;Sourdeval;2573;49;2622
50;197;50197;Gavray-sur-Sienne;50;583;50583;Sourdeval-les-Bois;229;2;231
50;236;50236;La Haye;50;586;50586;Surville;169;3;172
50;591;50591;Le Teilleul;50;591;50591;Le Teilleul;1228;22;1250
50;041;50041;La Hague;50;600;50600;Tonneville;635;15;650
50;601;50601;Torigny-les-Villes;50;601;50601;Torigni-sur-Vire;2366;34;2400
50;129;50129;Cherbourg-en-Cotentin;50;602;50602;Tourlaville;15855;417;16272
50;419;50419;Quettreville-sur-Sienne;50;605;50605;Trelly;662;9;671
50;041;50041;La Hague;50;611;50611;Urville-Nacqueville;1968;47;2015
50;082;50082;Bricquebec-en-Cotentin;50;614;50614;Le Valdécie;143;1;144
50;041;50041;La Hague;50;620;50620;Vasteville;1167;28;1195
50;550;50550;Saint-Sauveur-Villages;50;622;50622;Vaudrimesnil;393;9;402
50;041;50041;La Hague;50;623;50623;Vauville;305;7;312
50;582;50582;Sourdeval;50;625;50625;Vengeons;453;11;464
50;487;50487;Saint-James;50;627;50627;Vergoncey;186;4;190
50;410;50410;Pontorson;50;630;50630;Vessey;379;8;387
50;099;50099;Carentan-les-Marais;50;631;50631;Les Veys;427;8;435
50;256;50256;Isigny-le-Buat;50;632;50632;Vezins;258;6;264
50;492;50492;Saint-Jean-d'Elle;50;635;50635;Vidouville;124;3;127
50;359;50359;Mortain-Bocage;50;638;50638;Villechien;164;8;172
50;639;50639;Villedieu-les-Poêles-Rouffigny;50;639;50639;Villedieu-les-Poêles;3586;66;3652
50;487;50487;Saint-James;50;640;50640;Villiers-le-Pré;206;4;210
50;484;50484;Saint-Hilaire-du-Harcouët;50;644;50644;Virey;954;32;986
50;082;50082;Bricquebec-en-Cotentin;50;646;50646;Le Vrétot;565;11;576
51;158;51158;Val-des-Marais;51;021;51021;Aulnay-aux-Planches;74;7;81
51;158;51158;Val-des-Marais;51;024;51024;Aulnizeux;41;1;42
51;030;51030;Aÿ-Champagne;51;030;51030;Ay;3400;52;3452
51;457;51457;Cœur-de-la-Vallée;51;063;51063;Binson-et-Orquigny;163;1;164
51;030;51030;Aÿ-Champagne;51;064;51064;Bisseuil;616;15;631
51;075;51075;Bourgogne-Fresne;51;075;51075;Bourgogne;1036;21;1057
51;171;51171;Cormicy;51;171;51171;Cormicy;1454;15;1469
51;485;51485;La Neuville-au-Temple;51;205;51205;Dampierre-au-Temple;271;4;275
51;075;51075;Bourgogne-Fresne;51;261;51261;Fresne-lès-Reims;441;9;450
51;612;51612;Blancs-Coteaux;51;271;51271;Gionges;179;74;253
51;564;51564;Val de Livre;51;331;51331;Louvois;341;7;348
51;030;51030;Aÿ-Champagne;51;347;51347;Mareuil-sur-Ay;1087;21;1108
51;158;51158;Val-des-Marais;51;383;51383;Morains;95;2;97
51;248;51248;Fère-Champenoise;51;405;51405;Normée;62;0;62
51;612;51612;Blancs-Coteaux;51;411;51411;Oger;508;6;514
51;457;51457;Cœur-de-la-Vallée;51;457;51457;Reuil;270;2;272
51;485;51485;La Neuville-au-Temple;51;485;51485;Saint-Hilaire-au-Temple;308;7;315
52;182;52182;Éclaron-Braucourt-Sainte-Livière;51;494;51494;Sainte-Livière;237;2;239
51;564;51564;Val de Livre;51;564;51564;Tauxières-Mutry;245;10;255
51;611;51611;Vert-Toulon;51;575;51575;Toulon-la-Montagne;35;1;36
51;612;51612;Blancs-Coteaux;51;612;51612;Vertus;2188;80;2268
51;457;51457;Cœur-de-la-Vallée;51;637;51637;Villers-sous-Châtillon;209;3;212
51;612;51612;Blancs-Coteaux;51;651;51651;Voipreux;205;5;210
51;171;51171;Cormicy;51;664;51664;Gernicourt;46;1;47
52;088;52088;Ceffonds;52;010;52010;Anglus;59;4;63
52;140;52140;Colombey les Deux Églises;52;018;52018;Argentolles;35;1;36
52;273;52273;Larivière-Arnoncourt;52;020;52020;Arnoncourt-sur-Apance;25;0;25
52;497;52497;Troisfontaines-la-Ville;52;032;52032;Avrainville;127;6;133
52;449;52449;Saints-Geosmes;52;036;52036;Balesmes-sur-Marne;237;6;243
52;400;52400;Le Châtelet-sur-Meuse;52;041;52041;Beaucharmoy;36;0;36
52;140;52140;Colombey les Deux Églises;52;049;52049;Biernes;41;0;41
52;140;52140;Colombey les Deux Églises;52;052;52052;Blaise;69;0;69
52;008;52008;Andelot-Blancheville;52;054;52054;Blancheville;101;3;104
52;064;52064;Bourmont-entre-Meuse-et-Mouzon;52;064;52064;Bourmont;382;25;407
52;182;52182;Éclaron-Braucourt-Sainte-Livière;52;068;52068;Braucourt;165;4;169
52;491;52491;Thonnance-les-Moulins;52;071;52071;Bressoncourt;7;0;7
52;123;52123;Chevillon;52;073;52073;Breuil-sur-Marne;102;4;106
52;197;52197;Fayl-Billot;52;077;52077;Broncourt;62;1;63
52;121;52121;Chaumont;52;078;52078;Brottes;761;39;800
52;491;52491;Thonnance-les-Moulins;52;080;52080;Brouthières;15;0;15
52;426;52426;Rizaucourt-Buchey;52;081;52081;Buchey;22;0;22
52;140;52140;Colombey les Deux Églises;52;100;52100;Champcourt;40;2;42
52;432;52432;Rolampont;52;111;52111;Charmoilles;77;0;77
52;197;52197;Fayl-Billot;52;112;52112;Charmoy;83;2;85
52;189;52189;Le Val-d'Esnoms;52;117;52117;Chatoillenot;100;4;104
52;074;52074;Breuvannes-en-Bassigny;52;139;52139;Colombey-lès-Choiseul;74;3;77
52;140;52140;Colombey les Deux Églises;52;140;52140;Colombey-les-Deux-Églises;341;12;353
52;083;52083;Champsevraine;52;143;52143;Corgirnon;294;7;301
52;269;52269;Langres;52;144;52144;Corlée;198;7;205
52;189;52189;Le Val-d'Esnoms;52;150;52150;Courcelles-Val-d'Esnoms;106;3;109
52;114;52114;Châteauvillain;52;153;52153;Créancey;188;3;191
52;205;52205;Foulain;52;154;52154;Crenay;221;9;230
52;353;52353;Nogent;52;176;52176;Donnemarie;65;0;65
52;411;52411;Rives Dervoises;52;180;52180;Droyes;409;8;417
52;332;52332;Val-de-Meuse;52;186;52186;Épinant;86;2;88
52;187;52187;Épizon;52;187;52187;Épizon;126;2;128
