Nom géographique GMS;Code géographique;Libellé géographique;[DISP] Nbre de ménages fiscaux;[DISP] Nbre de personnes dans les ménages fiscaux;[DISP] Nbre d'unités de consommation dans les ménages fiscaux;[DISP] 1ᵉʳ quartile (€);[DISP] Médiane (€);[DISP] 3ᵉ quartile (€);[DISP] Écart interquartile (€);[DISP] 1ᵉʳ décile (€);[DISP] 2ᵉ décile (€);[DISP]3ᵉ décile (€);[DISP] 4ᵉ décile (€);[DISP] 6ᵉ décile (€);[DISP] 7ᵉ décile (€);[DISP] 8ᵉ décile (€);[DISP] 9ᵉ décile (€);[DISP] Rapport interdécile 9ᵉ décile/1ᵉʳ decile;[DISP] S80/20;[DISP] Iice de Gini;[DISP] Part des revenus d’activité (%);[DISP] dont part des salaires et traitements(%);[DISP] dont part des iemnités de chômage (%);[DISP] dont part des revenus des activités non salariées (%);[DISP] Part des pensions, retraites et rentes (%);[DISP] Part des revenus du patrimoine et autres revenus (%);[DISP] Part de l'ensemble des prestations sociales (%);[DISP] dont part des prestations familiales (%);[DISP] dont part des minima sociaux (%);[DISP] dont part des prestations logement (%);[DISP] Part des impôts (%);[DEC] Nbre de ménages fiscaux;[DEC] Nbre de personnes dans les ménages fiscaux;[DEC] Nbre d'unités de consommation dans les ménages fiscaux;[DEC] Part des ménages fiscaux imposés (%);[DEC] 1ᵉʳ quartile (€);[DEC] Médiane (€);[DEC] 3ᵉ quartile (€);[DEC] Écart interquartile (€);[DEC] 1ᵉʳ décile (€);[DEC] 2ᵉ décile (€);[DEC] 3ᵉ décile  (€);[DEC] 4ᵉ décile (€);[DEC] 6ᵉ décile (€);[DEC] 7ᵉ décile (€);[DEC] 8ᵉ décile (€);[DEC] 9ᵉ décile (€);[DEC] Rapport interdécile D9/D1;[DEC] S80/S20;[DEC] Iice de Gini;[DEC] Part des revenus d’activité (%);[DEC] dont part des salaires et traitements (%);[DEC] dont part des iemnités de chômage (%);[DEC] dont part des revenus des activités non salariées (%);[DEC] Part des pensions, retraites et rentes (%);[DEC] Part des autres revenus (%)
Nantiat;87103;Nantiat;746;1572;1110.1;;20990;;;;;;;;;;;;;;;;;;;;;;;;;746;1572;1110.1;;;20690;;;;;;;;;;;;;;;;;;;
Nedde;87104;Nedde;212;417;304.4;;19590;;;;;;;;;;;;;;;;;;;;;;;;;212;417;304.4;;;18520;;;;;;;;;;;;;;;;;;;
Neuvic-Entier;87105;Neuvic-Entier;423;826;606.1;;20740;;;;;;;;;;;;;;;;;;;;;;;;;423;826;606.1;;;19840;;;;;;;;;;;;;;;;;;;
Nexon;87106;Nexon;1097;2325;1639.6;17780;23090;28520;10740;13290;16440;19250;20960;24920;27050;29600;35530;2.7;3.2;0.224;66.1;56.9;1.8;7.4;36;6.6;4.7;1.9;2;0.8;-13.4;1096;2324;1638.6;50;16620;22890;29160;12540;10590;14970;17840;20490;25000;27610;31150;38190;3,6;4.7;0.281;61.4;52.8;1.8;6.8;34.4;4.2
Nieul;87107;Nieul;655;1501;1032.9;;24920;;;;;;;;;;;;;;;;;;;;;;;;;654;1496;1030.3;;;25440;;;;;;;;;;;;;;;;;;;
Nouic;87108;Nouic;240;439;330.9;;19450;;;;;;;;;;;;;;;;;;;;;;;;;240;439;330.9;;;18860;;;;;;;;;;;;;;;;;;;
Oradour-Saint-Genest;87109;Oradour-Saint-Genest;169;328;242.1;;18600;;;;;;;;;;;;;;;;;;;;;;;;;169;328;242.1;;;18260;;;;;;;;;;;;;;;;;;;
Oradour-sur-Glane;87110;Oradour-sur-Glane;1101;2424;1684.9;17970;22430;27310;9340;13820;16720;19020;20570;24200;26100;29190;33270;2.4;2.8;0.204;69.8;61.9;2.1;5.8;33.1;6;4.3;1.9;1.8;0.6;-13.2;1101;2424;1684.9;50;16620;21810;28190;11570;11750;15280;17700;19890;24450;26780;29850;35990;3,1;3.8;0.253;64.8;57.3;2.1;5.4;31.6;3.6
Oradour-sur-Vayres;87111;Oradour-sur-Vayres;795;1582;1155.5;;20050;;;;;;;;;;;;;;;;;;;;;;;;;795;1579;1154.2;;;19250;;;;;;;;;;;;;;;;;;;
Pageas;87112;Pageas;286;593;424.2;;20880;;;;;;;;;;;;;;;;;;;;;;;;;286;593;424.2;;;20700;;;;;;;;;;;;;;;;;;;
Le Palais-sur-Vienne;87113;Le Palais-sur-Vienne;2615;5846;4053.8;17700;22960;28270;10570;12550;16200;18930;21080;24790;26900;29750;34920;2.8;3.1;0.216;61.6;56.7;2;2.9;41.5;4.7;5.9;2;2.8;1.1;-13.7;2616;5848;4055.3;54;16140;22810;29280;13140;8210;14060;17720;20320;25220;27690;31510;38160;4,6;5.9;0.294;57.7;53;2;2.7;40;2.3
Panazol;87114;Panazol;4833;10763;7470.7;18700;24410;31370;12670;13880;17280;19890;22280;26890;29790;33410;40360;2.9;3.5;0.244;66.9;59.7;2;5.2;38;7.2;4.5;1.8;1.9;0.8;-16.6;4838;10771;7477.2;59;17380;24620;33390;16010;9980;15450;18840;21890;27700;31290;35930;44910;4,5;5.7;0.314;60.4;53.8;1.9;4.7;35.2;4.4
Pensol;87115;Pensol;87;189;133;;20740;;;;;;;;;;;;;;;;;;;;;;;;;87;189;133;;;19710;;;;;;;;;;;;;;;;;;;
Peyrat-de-Bellac;87116;Peyrat-de-Bellac;509;1048;757.9;;20970;;;;;;;;;;;;;;;;;;;;;;;;;508;1045;755.9;;;20830;;;;;;;;;;;;;;;;;;;
Peyrat-le-Château;87117;Peyrat-le-Château;457;836;631.5;;20040;;;;;;;;;;;;;;;;;;;;;;;;;458;838;633;;;19650;;;;;;;;;;;;;;;;;;;
Peyrilhac;87118;Peyrilhac;574;1326;906.6;;22740;;;;;;;;;;;;;;;;;;;;;;;;;574;1326;906.6;;;22460;;;;;;;;;;;;;;;;;;;
Pierre-Buffière;87119;Pierre-Buffière;520;1063;762.8;;22480;;;;;;;;;;;;;;;;;;;;;;;;;520;1063;762.8;;;21960;;;;;;;;;;;;;;;;;;;
