Nom géographique GMS;Code géographique;Libellé géographique;[DISP] Nbre de ménages fiscaux;[DISP] Nbre de personnes dans les ménages fiscaux;[DISP] Nbre d'unités de consommation dans les ménages fiscaux;[DISP] 1ᵉʳ quartile (€);[DISP] Médiane (€);[DISP] 3ᵉ quartile (€);[DISP] Écart interquartile (€);[DISP] 1ᵉʳ décile (€);[DISP] 2ᵉ décile (€);[DISP]3ᵉ décile (€);[DISP] 4ᵉ décile (€);[DISP] 6ᵉ décile (€);[DISP] 7ᵉ décile (€);[DISP] 8ᵉ décile (€);[DISP] 9ᵉ décile (€);[DISP] Rapport interdécile 9ᵉ décile/1ᵉʳ decile;[DISP] S80/20;[DISP] Iice de Gini;[DISP] Part des revenus d’activité (%);[DISP] dont part des salaires et traitements(%);[DISP] dont part des iemnités de chômage (%);[DISP] dont part des revenus des activités non salariées (%);[DISP] Part des pensions, retraites et rentes (%);[DISP] Part des revenus du patrimoine et autres revenus (%);[DISP] Part de l'ensemble des prestations sociales (%);[DISP] dont part des prestations familiales (%);[DISP] dont part des minima sociaux (%);[DISP] dont part des prestations logement (%);[DISP] Part des impôts (%);[DEC] Nbre de ménages fiscaux;[DEC] Nbre de personnes dans les ménages fiscaux;[DEC] Nbre d'unités de consommation dans les ménages fiscaux;[DEC] Part des ménages fiscaux imposés (%);[DEC] 1ᵉʳ quartile (€);[DEC] Médiane (€);[DEC] 3ᵉ quartile (€);[DEC] Écart interquartile (€);[DEC] 1ᵉʳ décile (€);[DEC] 2ᵉ décile (€);[DEC] 3ᵉ décile  (€);[DEC] 4ᵉ décile (€);[DEC] 6ᵉ décile (€);[DEC] 7ᵉ décile (€);[DEC] 8ᵉ décile (€);[DEC] 9ᵉ décile (€);[DEC] Rapport interdécile D9/D1;[DEC] S80/S20;[DEC] Iice de Gini;[DEC] Part des revenus d’activité (%);[DEC] dont part des salaires et traitements (%);[DEC] dont part des iemnités de chômage (%);[DEC] dont part des revenus des activités non salariées (%);[DEC] Part des pensions, retraites et rentes (%);[DEC] Part des autres revenus (%)
Les Noës-près-Troyes;10265;Les Noës-près-Troyes;1478;3038;2159.5;14000;18750;23860;9870;11090;13260;14780;16900;20690;22720;25690;31090;2.8;3.2;0.235;59.9;52.5;3.8;3.6;36.3;4.3;10.8;3;5.2;2.6;-11.3;1478;3038;2159.5;36;10770;17510;23830;13060;5260;9100;12240;15050;19630;22380;25770;32430;6,2;8;0.345;60;52.4;4;3.6;37.6;2.4
Nogent-en-Othe;10266;Nogent-en-Othe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nogent-sur-Aube;10267;Nogent-sur-Aube;133;308;210.9;;23790;;;;;;;;;;;;;;;;;;;;;;;;;134;310;212.4;;;22940;;;;;;;;;;;;;;;;;;;
Nogent-sur-Seine;10268;Nogent-sur-Seine;2487;5403;3754.3;15040;20620;28150;13110;11020;13860;16120;18450;23140;26220;29800;37440;3.4;4.1;0.28;73.6;66;3.1;4.5;28.1;6.5;7.6;2.6;3.5;1.5;-15.8;2489;5407;3757.3;47;12440;19880;28600;16160;6170;10780;14010;16860;23210;26750;31280;40760;6,6;9;0.378;68.7;61.4;3.1;4.2;27.1;4.2
Nozay;10269;Nozay;63;158;102.9;;26990;;;;;;;;;;;;;;;;;;;;;;;;;63;158;102.9;;;27200;;;;;;;;;;;;;;;;;;;
Onjon;10270;Onjon;110;267;179.3;;22630;;;;;;;;;;;;;;;;;;;;;;;;;110;267;179.3;;;22640;;;;;;;;;;;;;;;;;;;
Origny-le-Sec;10271;Origny-le-Sec;271;602;417.4;;22280;;;;;;;;;;;;;;;;;;;;;;;;;271;602;417.4;;;22560;;;;;;;;;;;;;;;;;;;
Ormes;10272;Ormes;81;174;123.2;;23710;;;;;;;;;;;;;;;;;;;;;;;;;81;174;123.2;;;23970;;;;;;;;;;;;;;;;;;;
Ortillon;10273;Ortillon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orvilliers-Saint-Julien;10274;Orvilliers-Saint-Julien;129;307;207.6;;22380;;;;;;;;;;;;;;;;;;;;;;;;;129;307;207.6;;;22240;;;;;;;;;;;;;;;;;;;
Ossey-les-Trois-Maisons;10275;Ossey-les-Trois-Maisons;239;566;381.8;;21680;;;;;;;;;;;;;;;;;;;;;;;;;240;567;382.8;;;21200;;;;;;;;;;;;;;;;;;;
Paisy-Cosdon;10276;Paisy-Cosdon;149;335;233.8;;23110;;;;;;;;;;;;;;;;;;;;;;;;;149;335;233.8;;;23780;;;;;;;;;;;;;;;;;;;
Pargues;10278;Pargues;64;137;94;;22950;;;;;;;;;;;;;;;;;;;;;;;;;65;138;95;;;23000;;;;;;;;;;;;;;;;;;;
Pars-lès-Chavanges;10279;Pars-lès-Chavanges;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pars-lès-Romilly;10280;Pars-lès-Romilly;372;828;575.9;;22080;;;;;;;;;;;;;;;;;;;;;;;;;372;828;575.9;;;22030;;;;;;;;;;;;;;;;;;;
Le Pavillon-Sainte-Julie;10281;Le Pavillon-Sainte-Julie;120;283;193.8;;26600;;;;;;;;;;;;;;;;;;;;;;;;;120;283;193.8;;;27130;;;;;;;;;;;;;;;;;;;
Payns;10282;Payns;524;1310;874.2;;24410;;;;;;;;;;;;;;;;;;;;;;;;;524;1310;874.2;;;24720;;;;;;;;;;;;;;;;;;;
Pel-et-Der;10283;Pel-et-Der;62;125;90.7;;27630;;;;;;;;;;;;;;;;;;;;;;;;;62;125;90.7;;;28020;;;;;;;;;;;;;;;;;;;
Périgny-la-Rose;10284;Périgny-la-Rose;59;130;90.5;;21900;;;;;;;;;;;;;;;;;;;;;;;;;59;130;90.5;;;22540;;;;;;;;;;;;;;;;;;;
Perthes-lès-Brienne;10285;Perthes-lès-Brienne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petit-Mesnil;10286;Petit-Mesnil;97;210;147.1;;23640;;;;;;;;;;;;;;;;;;;;;;;;;97;210;147.1;;;23340;;;;;;;;;;;;;;;;;;;
Piney;10287;Piney;575;1335;911.5;;21860;;;;;;;;;;;;;;;;;;;;;;;;;577;1338;914;;;20810;;;;;;;;;;;;;;;;;;;
Plaines-Saint-Lange;10288;Plaines-Saint-Lange;130;244;183.1;;21610;;;;;;;;;;;;;;;;;;;;;;;;;131;245;184.1;;;20460;;;;;;;;;;;;;;;;;;;
Plancy-l'Abbaye;10289;Plancy-l'Abbaye;452;951;671;;20260;;;;;;;;;;;;;;;;;;;;;;;;;452;951;671;;;19460;;;;;;;;;;;;;;;;;;;
Planty;10290;Planty;108;245;167.6;;20900;;;;;;;;;;;;;;;;;;;;;;;;;108;245;167.6;;;19370;;;;;;;;;;;;;;;;;;;
Plessis-Barbuise;10291;Plessis-Barbuise;70;174;114.5;;23770;;;;;;;;;;;;;;;;;;;;;;;;;70;174;114.5;;;24070;;;;;;;;;;;;;;;;;;;
Poivres;10293;Poivres;66;160;106;;23010;;;;;;;;;;;;;;;;;;;;;;;;;67;162;107.5;;;22100;;;;;;;;;;;;;;;;;;;
Poligny;10294;Poligny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polisot;10295;Polisot;148;319;223.5;;25870;;;;;;;;;;;;;;;;;;;;;;;;;148;319;223.5;;;26720;;;;;;;;;;;;;;;;;;;
Polisy;10296;Polisy;74;173;119.2;;24420;;;;;;;;;;;;;;;;;;;;;;;;;73;171;117.7;;;23790;;;;;;;;;;;;;;;;;;;
Pont-Sainte-Marie;10297;Pont-Sainte-Marie;2072;4627;3180;14470;19740;26220;11750;10800;13370;15660;17570;21730;24240;28160;35350;3.3;4.1;0.285;64.6;57.5;3.3;3.8;32.2;8;9.5;3.1;4.3;2.1;-14.3;2072;4627;3180;44;11010;18480;26410;15400;4290;9570;12760;15950;21120;24320;28860;38560;9,0;11.9;0.402;62.4;55.3;3.4;3.7;31.9;5.7
Pont-sur-Seine;10298;Pont-sur-Seine;432;1011;685.7;;21520;;;;;;;;;;;;;;;;;;;;;;;;;432;1011;685.7;;;20590;;;;;;;;;;;;;;;;;;;
Pouan-les-Vallées;10299;Pouan-les-Vallées;216;501;346.4;;24160;;;;;;;;;;;;;;;;;;;;;;;;;216;501;346.4;;;24270;;;;;;;;;;;;;;;;;;;
Pougy;10300;Pougy;115;246;173.5;;22930;;;;;;;;;;;;;;;;;;;;;;;;;115;246;173.5;;;23010;;;;;;;;;;;;;;;;;;;
Pouy-sur-Vannes;10301;Pouy-sur-Vannes;73;164;112.5;;21470;;;;;;;;;;;;;;;;;;;;;;;;;73;164;112.5;;;21580;;;;;;;;;;;;;;;;;;;
Praslin;10302;Praslin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Précy-Notre-Dame;10303;Précy-Notre-Dame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Précy-Saint-Martin;10304;Précy-Saint-Martin;89;185;132.4;;22540;;;;;;;;;;;;;;;;;;;;;;;;;89;185;132.4;;;21750;;;;;;;;;;;;;;;;;;;
Prémierfait;10305;Prémierfait;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proverville;10306;Proverville;117;230;168.9;;25470;;;;;;;;;;;;;;;;;;;;;;;;;117;230;168.9;;;24980;;;;;;;;;;;;;;;;;;;
Prugny;10307;Prugny;151;364;246;;26530;;;;;;;;;;;;;;;;;;;;;;;;;152;366;247.5;;;26860;;;;;;;;;;;;;;;;;;;
Prunay-Belleville;10308;Prunay-Belleville;95;233;155.6;;23010;;;;;;;;;;;;;;;;;;;;;;;;;95;233;155.6;;;22370;;;;;;;;;;;;;;;;;;;
Prusy;10309;Prusy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Puits-et-Nuisement;10310;Puits-et-Nuisement;81;192;131.8;;21200;;;;;;;;;;;;;;;;;;;;;;;;;81;192;131.8;;;21560;;;;;;;;;;;;;;;;;;;
Racines;10312;Racines;71;164;112.5;;19420;;;;;;;;;;;;;;;;;;;;;;;;;70;161;110.5;;;18890;;;;;;;;;;;;;;;;;;;
Radonvilliers;10313;Radonvilliers;148;317;223.7;;22400;;;;;;;;;;;;;;;;;;;;;;;;;148;317;223.7;;;21420;;;;;;;;;;;;;;;;;;;
Ramerupt;10314;Ramerupt;165;342;242.3;;22990;;;;;;;;;;;;;;;;;;;;;;;;;165;342;242.3;;;22300;;;;;;;;;;;;;;;;;;;
Rances;10315;Rances;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhèges;10316;Rhèges;87;199;138.4;;20900;;;;;;;;;;;;;;;;;;;;;;;;;87;199;138.4;;;21580;;;;;;;;;;;;;;;;;;;
Les Riceys;10317;Les Riceys;528;1102;783.4;;22800;;;;;;;;;;;;;;;;;;;;;;;;;531;1106;787.1;;;24820;;;;;;;;;;;;;;;;;;;
Rigny-la-Nonneuse;10318;Rigny-la-Nonneuse;66;157;105.9;;25780;;;;;;;;;;;;;;;;;;;;;;;;;66;157;105.9;;;24940;;;;;;;;;;;;;;;;;;;
Rigny-le-Ferron;10319;Rigny-le-Ferron;156;309;221.8;;20850;;;;;;;;;;;;;;;;;;;;;;;;;156;309;221.8;;;20250;;;;;;;;;;;;;;;;;;;
Rilly-Sainte-Syre;10320;Rilly-Sainte-Syre;103;248;167.3;;24460;;;;;;;;;;;;;;;;;;;;;;;;;103;248;167.3;;;23570;;;;;;;;;;;;;;;;;;;
La Rivière-de-Corps;10321;La Rivière-de-Corps;1530;3656;2462.9;19220;25040;32480;13260;14950;18120;20320;22600;27680;30340;35190;43400;2.9;3.6;0.255;72.9;65.5;2;5.4;33.6;7.6;3.8;1.9;1.2;0.7;-17.9;1533;3660;2466.4;62;18070;25160;34430;16360;12120;16180;19410;22190;28470;32020;37720;48080;4,0;5.3;0.32;64.9;58.2;1.9;4.8;30.5;4.6
Romilly-sur-Seine;10323;Romilly-sur-Seine;6579;14198;9863.6;12840;17610;23260;10410;9600;11840;13840;15600;19740;21980;24810;29390;3.1;3.7;0.254;59.5;52.9;3.9;2.7;34.8;4.2;12.5;3.8;6;2.7;-11;6583;14202;9867.4;36;8850;15870;23140;14290;2690;7110;10220;13000;18630;21570;25000;30330;11,3;12;0.379;60.8;53.8;4.2;2.8;36.6;2.6
Roncenay;10324;Roncenay;65;159;107.3;;25520;;;;;;;;;;;;;;;;;;;;;;;;;65;159;107.3;;;24970;;;;;;;;;;;;;;;;;;;
Rosières-près-Troyes;10325;Rosières-près-Troyes;1690;3958;2678.7;19050;24100;31040;11990;14190;17560;19970;22180;26360;29540;32770;40080;2.8;3.7;0.267;78.4;71.4;2.1;4.9;25.5;9;4;1.9;1.4;0.7;-16.9;1690;3958;2678.7;60;17910;24220;32410;14500;11970;16250;19290;21860;26990;30800;35010;43980;3,7;5.3;0.324;70.1;63.8;2;4.3;23.4;6.5
Rosnay-l'Hôpital;10326;Rosnay-l'Hôpital;83;160;119.8;;23150;;;;;;;;;;;;;;;;;;;;;;;;;84;162;121.3;;;22980;;;;;;;;;;;;;;;;;;;
La Rothière;10327;La Rothière;53;116;81.6;;22670;;;;;;;;;;;;;;;;;;;;;;;;;53;116;81.6;;;22760;;;;;;;;;;;;;;;;;;;
Rouilly-Sacey;10328;Rouilly-Sacey;160;371;251.1;;24710;;;;;;;;;;;;;;;;;;;;;;;;;162;373;253.1;;;25110;;;;;;;;;;;;;;;;;;;
Rouilly-Saint-Loup;10329;Rouilly-Saint-Loup;231;529;366.8;;24600;;;;;;;;;;;;;;;;;;;;;;;;;231;529;366.8;;;24790;;;;;;;;;;;;;;;;;;;
Rouvres-les-Vignes;10330;Rouvres-les-Vignes;47;113;75.5;;26690;;;;;;;;;;;;;;;;;;;;;;;;;47;113;75.5;;;28890;;;;;;;;;;;;;;;;;;;
Rumilly-lès-Vaudes;10331;Rumilly-lès-Vaudes;219;516;351.8;;23680;;;;;;;;;;;;;;;;;;;;;;;;;219;516;351.8;;;23820;;;;;;;;;;;;;;;;;;;
Ruvigny;10332;Ruvigny;188;478;318.2;;26630;;;;;;;;;;;;;;;;;;;;;;;;;189;480;319.7;;;26700;;;;;;;;;;;;;;;;;;;
Saint-André-les-Vergers;10333;Saint-Aré-les-Vergers;5788;11891;8449.3;15940;21440;28100;12150;11680;14690;17160;19370;23920;26540;30410;36820;3.2;3.9;0.265;69.4;61.8;2.8;4.8;32.7;5.9;7.4;2.3;3.4;1.7;-15.4;5795;11902;8458.1;50;13580;21080;29080;15500;5470;11300;15170;18240;23860;27210;31950;40480;7,4;9.1;0.363;65;57.7;2.8;4.5;31.5;3.5
Saint-Aubin;10334;Saint-Aubin;229;557;372.1;;22870;;;;;;;;;;;;;;;;;;;;;;;;;229;557;372.1;;;22710;;;;;;;;;;;;;;;;;;;
Saint-Benoist-sur-Vanne;10335;Saint-Benoist-sur-Vanne;99;225;154.8;;20430;;;;;;;;;;;;;;;;;;;;;;;;;99;225;154.8;;;20880;;;;;;;;;;;;;;;;;;;
Saint-Benoît-sur-Seine;10336;Saint-Benoît-sur-Seine;174;435;291.4;;25520;;;;;;;;;;;;;;;;;;;;;;;;;174;435;291.4;;;26290;;;;;;;;;;;;;;;;;;;
Saint-Christophe-Dodinicourt;10337;Saint-Christophe-Dodinicourt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint-Étienne-sous-Barbuise;10338;Saint-Étienne-sous-Barbuise;70;159;110;;25150;;;;;;;;;;;;;;;;;;;;;;;;;70;159;110;;;24690;;;;;;;;;;;;;;;;;;;
Saint-Flavy;10339;Saint-Flavy;123;296;199.2;;23660;;;;;;;;;;;;;;;;;;;;;;;;;123;296;199.2;;;24300;;;;;;;;;;;;;;;;;;;
Saint-Germain;10340;Saint-Germain;991;2450;1636.7;18860;23480;29690;10830;15010;17730;19820;21470;25790;28210;32370;39080;2.6;3.3;0.241;74.4;65;2.3;7.1;29.4;7.5;4.3;2.2;1.4;0.7;-15.6;991;2450;1636.7;57;17310;23350;31440;14130;11710;15990;18590;20960;25890;29240;34200;43290;3,7;4.8;0.301;67.6;59;2.2;6.4;27.4;5
Saint-Hilaire-sous-Romilly;10341;Saint-Hilaire-sous-Romilly;135;316;216.1;;23580;;;;;;;;;;;;;;;;;;;;;;;;;135;316;216.1;;;24700;;;;;;;;;;;;;;;;;;;
Saint-Jean-de-Bonneval;10342;Saint-Jean-de-Bonneval;165;406;271.3;;25150;;;;;;;;;;;;;;;;;;;;;;;;;165;406;271.3;;;24500;;;;;;;;;;;;;;;;;;;
Saint-Julien-les-Villas;10343;Saint-Julien-les-Villas;3025;6388;4523.1;17040;22370;29380;12340;12310;15510;18150;20180;24780;27750;31380;38050;3.1;4;0.276;69.4;60.9;2.6;5.9;33;7.9;5.4;1.8;2.4;1.2;-15.7;3026;6389;4524.1;53;15160;22040;30620;15470;8280;13500;16690;19300;25020;28410;33270;41300;5,0;7.1;0.351;63.8;55.8;2.6;5.4;31.2;5
Saint-Léger-près-Troyes;10344;Saint-Léger-près-Troyes;359;904;602.2;;25190;;;;;;;;;;;;;;;;;;;;;;;;;359;904;602.2;;;25040;;;;;;;;;;;;;;;;;;;
Saint-Léger-sous-Brienne;10345;Saint-Léger-sous-Brienne;177;389;274.7;;22770;;;;;;;;;;;;;;;;;;;;;;;;;177;389;274.7;;;22670;;;;;;;;;;;;;;;;;;;
Saint-Léger-sous-Margerie;10346;Saint-Léger-sous-Margerie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint-Loup-de-Buffigny;10347;Saint-Loup-de-Buffigny;89;203;139.7;;23680;;;;;;;;;;;;;;;;;;;;;;;;;89;203;139.7;;;23150;;;;;;;;;;;;;;;;;;;
Saint-Lupien;10348;Saint-Lupien;92;226;149.7;;21960;;;;;;;;;;;;;;;;;;;;;;;;;92;226;149.7;;;21660;;;;;;;;;;;;;;;;;;;
Saint-Lyé;10349;Saint-Lyé;1219;2855;1954.4;20330;25270;31380;11050;16050;19070;21350;23350;27410;29970;33390;40690;2.5;3.1;0.225;71.7;62.5;2.7;6.5;33.1;8.8;2.6;1.3;1;0.3;-16.2;1219;2855;1954.4;64;19820;25570;33100;13280;14860;18480;20880;23400;28320;31250;35370;44890;3,0;3.8;0.266;63.9;55.6;2.5;5.8;30.3;5.8
Saint-Mards-en-Othe;10350;Saint-Mards-en-Othe;279;616;428;;20860;;;;;;;;;;;;;;;;;;;;;;;;;278;614;426.7;;;20470;;;;;;;;;;;;;;;;;;;
Saint-Martin-de-Bossenay;10351;Saint-Martin-de-Bossenay;153;347;238.9;;22820;;;;;;;;;;;;;;;;;;;;;;;;;153;347;238.9;;;23240;;;;;;;;;;;;;;;;;;;
Sainte-Maure;10352;Sainte-Maure;737;1718;1167.2;;24890;;;;;;;;;;;;;;;;;;;;;;;;;738;1719;1168.2;;;25120;;;;;;;;;;;;;;;;;;;
Saint-Mesmin;10353;Saint-Mesmin;375;935;620.4;;22510;;;;;;;;;;;;;;;;;;;;;;;;;375;935;620.4;;;22240;;;;;;;;;;;;;;;;;;;
Saint-Nabord-sur-Aube;10354;Saint-Nabord-sur-Aube;56;127;87.1;;24160;;;;;;;;;;;;;;;;;;;;;;;;;56;127;87.1;;;23840;;;;;;;;;;;;;;;;;;;
Saint-Nicolas-la-Chapelle;10355;Saint-Nicolas-la-Chapelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saint-Oulph;10356;Saint-Oulph;120;313;202.2;;22660;;;;;;;;;;;;;;;;;;;;;;;;;120;313;202.2;;;22290;;;;;;;;;;;;;;;;;;;
Saint-Parres-aux-Tertres;10357;Saint-Parres-aux-Tertres;1301;2931;2025.9;18710;23550;29860;11150;14410;17460;19680;21710;25780;28220;31790;39110;2.7;3.3;0.243;69.5;60;3;6.5;34.3;7.3;4.9;1.9;2.2;0.8;-16;1300;2929;2024.4;55;17090;23420;30870;13780;11040;15600;18590;20980;26040;29350;33770;42680;3,9;5.1;0.312;63.2;54.4;2.9;5.9;32;4.8
Saint-Parres-lès-Vaudes;10358;Saint-Parres-lès-Vaudes;447;967;678.8;;23100;;;;;;;;;;;;;;;;;;;;;;;;;448;969;680.3;;;22410;;;;;;;;;;;;;;;;;;;
Saint-Phal;10359;Saint-Phal;230;538;366.1;;22290;;;;;;;;;;;;;;;;;;;;;;;;;230;538;366.1;;;22260;;;;;;;;;;;;;;;;;;;
Saint-Pouange;10360;Saint-Pouange;364;896;599.1;;26560;;;;;;;;;;;;;;;;;;;;;;;;;364;896;599.1;;;26950;;;;;;;;;;;;;;;;;;;
Saint-Remy-sous-Barbuise;10361;Saint-Remy-sous-Barbuise;88;241;154.7;;24270;;;;;;;;;;;;;;;;;;;;;;;;;88;241;154.7;;;24290;;;;;;;;;;;;;;;;;;;
Sainte-Savine;10362;Sainte-Savine;5276;9908;7319.5;16120;21590;28860;12740;11970;15060;17360;19630;24030;27040;30790;38620;3.2;4;0.272;69.2;60.2;2.9;6.1;33.1;6.6;6.6;1.8;3.2;1.6;-15.5;5278;9916;7324.5;49;14190;21340;30120;15920;7160;12290;15760;18750;24180;27790;32720;42720;6,0;8;0.359;64.4;55.7;2.9;5.8;31.6;4
Saint-Thibault;10363;Saint-Thibault;220;519;351.3;;23990;;;;;;;;;;;;;;;;;;;;;;;;;220;519;351.3;;;23910;;;;;;;;;;;;;;;;;;;
Saint-Usage;10364;Saint-Usage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salon;10365;Salon;59;130;90.7;;20100;;;;;;;;;;;;;;;;;;;;;;;;;59;130;90.7;;;20800;;;;;;;;;;;;;;;;;;;
Saulcy;10366;Saulcy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Saulsotte;10367;La Saulsotte;268;655;434.1;;23310;;;;;;;;;;;;;;;;;;;;;;;;;268;655;434.1;;;23180;;;;;;;;;;;;;;;;;;;
Savières;10368;Savières;422;1064;704.5;;23720;;;;;;;;;;;;;;;;;;;;;;;;;422;1064;704.5;;;23180;;;;;;;;;;;;;;;;;;;
Semoine;10369;Semoine;89;199;136.2;;21350;;;;;;;;;;;;;;;;;;;;;;;;;89;199;136.2;;;20370;;;;;;;;;;;;;;;;;;;
Soligny-les-Étangs;10370;Soligny-les-Étangs;104;239;164.1;;22930;;;;;;;;;;;;;;;;;;;;;;;;;104;239;164.1;;;23230;;;;;;;;;;;;;;;;;;;
Sommeval;10371;Sommeval;125;308;208.2;;25000;;;;;;;;;;;;;;;;;;;;;;;;;125;308;208.2;;;25620;;;;;;;;;;;;;;;;;;;
Soulaines-Dhuys;10372;Soulaines-Dhuys;143;355;236.1;;22580;;;;;;;;;;;;;;;;;;;;;;;;;144;357;237.6;;;21680;;;;;;;;;;;;;;;;;;;
Souligny;10373;Souligny;175;389;273.3;;25810;;;;;;;;;;;;;;;;;;;;;;;;;175;389;273.3;;;26350;;;;;;;;;;;;;;;;;;;
Spoy;10374;Spoy;69;149;104.3;;24720;;;;;;;;;;;;;;;;;;;;;;;;;70;150;105.3;;;23800;;;;;;;;;;;;;;;;;;;
Thennelières;10375;Thennelières;148;352;242.4;;26230;;;;;;;;;;;;;;;;;;;;;;;;;148;352;242.4;;;25910;;;;;;;;;;;;;;;;;;;
Thieffrain;10376;Thieffrain;69;160;109.2;;24010;;;;;;;;;;;;;;;;;;;;;;;;;69;160;109.2;;;23720;;;;;;;;;;;;;;;;;;;
Thil;10377;Thil;52;108;77.9;;23180;;;;;;;;;;;;;;;;;;;;;;;;;52;108;77.9;;;22560;;;;;;;;;;;;;;;;;;;
Thors;10378;Thors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Torcy-le-Grand;10379;Torcy-le-Gra;201;458;318.2;;22570;;;;;;;;;;;;;;;;;;;;;;;;;201;458;318.2;;;21830;;;;;;;;;;;;;;;;;;;
Torcy-le-Petit;10380;Torcy-le-Petit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Torvilliers;10381;Torvilliers;391;970;652.9;;27700;;;;;;;;;;;;;;;;;;;;;;;;;392;973;654.7;;;28400;;;;;;;;;;;;;;;;;;;
Traînel;10382;Traînel;429;955;661.2;;21920;;;;;;;;;;;;;;;;;;;;;;;;;429;955;661.2;;;21680;;;;;;;;;;;;;;;;;;;
Trancault;10383;Trancault;70;160;109.3;;23380;;;;;;;;;;;;;;;;;;;;;;;;;70;160;109.3;;;22440;;;;;;;;;;;;;;;;;;;
Trannes;10384;Trannes;85;217;144;;22470;;;;;;;;;;;;;;;;;;;;;;;;;85;217;144;;;22610;;;;;;;;;;;;;;;;;;;
Trouans;10386;Trouans;93;204;141.5;;20900;;;;;;;;;;;;;;;;;;;;;;;;;93;204;141.5;;;20370;;;;;;;;;;;;;;;;;;;
Troyes;10387;Troyes;26820;49545;36583.1;12980;18260;24920;11940;9460;11950;13910;15900;20530;23250;26930;33720;3.6;4.7;0.306;66.4;57.4;3.8;5.2;29.2;6.6;11.9;2.8;6.1;3;-14.1;26843;49574;36609.3;40;8190;16670;25180;16990;1450;6300;10020;13430;19770;23140;27660;36210;25,0;20.9;0.445;65.7;56.6;4;5.1;29.8;4.5
Turgy;10388;Turgy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unienville;10389;Unienville;55;109;79.4;;23500;;;;;;;;;;;;;;;;;;;;;;;;;55;109;79.4;;;23610;;;;;;;;;;;;;;;;;;;
Urville;10390;Urville;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vailly;10391;Vailly;126;309;209.2;;25680;;;;;;;;;;;;;;;;;;;;;;;;;125;308;208.2;;;25480;;;;;;;;;;;;;;;;;;;
Vallant-Saint-Georges;10392;Vallant-Saint-Georges;170;394;269.6;;24540;;;;;;;;;;;;;;;;;;;;;;;;;170;394;269.6;;;25340;;;;;;;;;;;;;;;;;;;
Vallentigny;10393;Vallentigny;79;182;124.9;;22320;;;;;;;;;;;;;;;;;;;;;;;;;79;182;124.9;;;21170;;;;;;;;;;;;;;;;;;;
Vallières;10394;Vallières;66;165;108.7;;19980;;;;;;;;;;;;;;;;;;;;;;;;;66;165;108.7;;;18880;;;;;;;;;;;;;;;;;;;
Vanlay;10395;Vanlay;132;284;200.5;;21590;;;;;;;;;;;;;;;;;;;;;;;;;132;284;200.5;;;21530;;;;;;;;;;;;;;;;;;;
Vauchassis;10396;Vauchassis;211;495;338.2;;24560;;;;;;;;;;;;;;;;;;;;;;;;;211;495;338.2;;;25170;;;;;;;;;;;;;;;;;;;
Vauchonvilliers;10397;Vauchonvilliers;70;161;109.7;;21350;;;;;;;;;;;;;;;;;;;;;;;;;70;161;109.7;;;20640;;;;;;;;;;;;;;;;;;;
Vaucogne;10398;Vaucogne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaudes;10399;Vaudes;277;666;447.7;;21520;;;;;;;;;;;;;;;;;;;;;;;;;278;667;448.7;;;21020;;;;;;;;;;;;;;;;;;;
